资产名,sysname,类型,厂商,型号
,,,,
ZJJH-ZYC-D1-301-D06-H3CS6800-BAK-TOR06,ZJJH-ZYC-D1-301-D04-D06-H3CS6800-BAK-TOR05-TOR06,交换机,H3C,S6800
,,,,
ZJJH-ZYC-D1-301-A03-H3CS6800-BAK-TOR02,ZJJH-ZYC-D1-301-A01-A03-H3CS6800-BAK-TOR01-TOR02,交换机,H3C,S6800
,,,,
ZJJH-ZYC-D1-301-D04-H3CS6800-BAK-TOR05,ZJJH-ZYC-D1-301-D04-D06-H3CS6800-BAK-TOR05-TOR06,交换机,H3C,S6800
,,,,
ZJJH-ZYC-D1-301-D03-H3CS6800-BAK-TOR04,ZJJH-ZYC-D1-301-D01-D03-H3CS6800-BAK-TOR03-TOR04,交换机,H3C,S6800
,,,,
ZJJH-ZYC-D1-301-D01-H3CS6800-BAK-TOR03,ZJJH-ZYC-D1-301-D01-D03-H3CS6800-BAK-TOR03-TOR04,交换机,H3C,S6800
,,,,
ZJJH-ZYC-D1-301-A01-H3CS6800-BAK-TOR01,ZJJH-ZYC-D1-301-A01-A03-H3CS6800-BAK-TOR01-TOR02,交换机,H3C,S6800
,,,,
ZJJH-ZYC-D1-301-A01-H3CS6800-BUSI-TOR01,ZJJH-ZYC-D1-301-A01-A02-H3CS6800-BUSI-TOR01-TOR02,交换机,H3C,S6800
,,,,
ZJJH-ZYC-D1-301-D02-H3CS6800-BUSI-TOR04,ZJJH-ZYC-D1-301-D01-D02-H3CS6800-BUSI-TOR03-TOR04,交换机,H3C,S6800
,,,,
ZJJH-ZYC-D1-301-D01-H3CS6800-BUSI-TOR03,ZJJH-ZYC-D1-301-D01-D02-H3CS6800-BUSI-TOR03-TOR04,交换机,H3C,S6800
,,,,
ZJJH-ZYC-D1-301-A02-H3CS6800-BUSI-TOR02,ZJJH-ZYC-D1-301-A01-A02-H3CS6800-BUSI-TOR01-TOR02,交换机,H3C,S6800
,,,,
ZJJH-ZYC-D1-301-A02-H3CS6800-STOR-TOR01,ZJJH-ZYC-D1-301-A02-A03-H3CS6800-STOR-TOR01-TOR02,交换机,H3C,S6800
,,,,
ZJJH-ZYC-D1-301-D02-H3CS6800-STOR-TOR03,ZJJH-ZYC-D1-301-D02-D03-H3CS6800-STOR-TOR03-TOR04,交换机,H3C,S6800
,,,,
ZJJH-ZYC-D1-301-A03-H3CS6800-STOR-TOR02,ZJJH-ZYC-D1-301-A02-A03-H3CS6800-STOR-TOR01-TOR02,交换机,H3C,S6800
,,,,
ZJJH-ZYC-D1-301-D03-H3CS6800-STOR-TOR04,ZJJH-ZYC-D1-301-D02-D03-H3CS6800-STOR-TOR03-TOR04,交换机,H3C,S6800
,,,,
ZJJH-ZYC-D1-301-D07-H3CS6900-BD-TOR01,ZJJH-ZYC-D1-301-D07-D08-H3CS6900-BD-TOR01-TOR02,交换机,H3C,S6900-4F
,,,,
ZJJH-ZYC-D1-301-D14-H3CS6900-BD-TOR04,ZJJH-ZYC-D1-301-D13-D14-H3CS6900-BD-TOR03-TOR04,交换机,H3C,S6900-4F
,,,,
ZJJH-ZYC-D1-301-D13-H3CS6900-BD-TOR03,ZJJH-ZYC-D1-301-D13-D14-H3CS6900-BD-TOR03-TOR04,交换机,H3C,S6900-4F
,,,,
ZJJH-ZYC-D1-301-D08-H3CS6900-BD-TOR02,ZJJH-ZYC-D1-301-D07-D08-H3CS6900-BD-TOR01-TOR02,交换机,H3C,S6900-4F
,,,,
ZJJH-ZYC-D1-301-D05-H3CS6900-BUSI-TOR06,ZJJH-ZYC-D1-301-D04-D05-H3CS6900-BUSI-TOR05-TOR06,交换机,H3C,S6900-4F
,,,,
ZJJH-ZYC-D1-301-D04-H3CS6900-BUSI-TOR05,ZJJH-ZYC-D1-301-D04-D05-H3CS6900-BUSI-TOR05-TOR06,交换机,H3C,S6900-4F
,,,,
ZJJH-ZYC-D1-301-D12-H3CS6900-STOR-TOR08,ZJJH-ZYC-D1-301-D11-D12-H3CS6900-STOR-TOR07-TOR08,交换机,H3C,S6900-4F
,,,,
ZJJH-ZYC-D1-301-D06-H3CS6900-STOR-TOR06,ZJJH-ZYC-D1-301-D05-D06-H3CS6900-STOR-TOR05-TOR06,交换机,H3C,S6900-4F
,,,,
ZJJH-ZYC-D1-301-D11-H3CS6900-STOR-TOR07,ZJJH-ZYC-D1-301-D11-D12-H3CS6900-STOR-TOR07-TOR08,交换机,H3C,S6900-4F
,,,,
ZJJH-ZYC-D1-301-D05-H3CS6900-STOR-TOR05,ZJJH-ZYC-D1-301-D05-D06-H3CS6900-STOR-TOR05-TOR06,交换机,H3C,S6900-4F
